dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
bitbrains_fast_storage/5T/long,VISIT-2.0,5902949.355,5902949.355,407.4507689,0.902765825,4.633766812,0.829554129,15.61355578,2429.5986,6.420703099,1.07677063,0.774984106,Web/CloudOps,2
bitbrains_fast_storage/5T/medium,VISIT-2.0,4116327.9,4116327.9,297.8172554,1.001006045,4.34994386,0.811864621,20.92585547,2028.873554,6.164278438,0.904851109,0.669573118,Web/CloudOps,2
bitbrains_fast_storage/5T/short,VISIT-2.0,2419748.919,2419748.919,183.5947019,0.705608441,2.755389107,0.752063967,13.01904948,1555.554216,4.884055477,0.576441952,0.445356305,Web/CloudOps,2
bitbrains_fast_storage/H/short,VISIT-2.0,6882941.297,6882941.297,498.2380022,1.05765455,7.196088837,0.589312844,20.95574562,2623.536029,7.477929885,1.420140149,1.090555071,Web/CloudOps,2
bitbrains_rnd/5T/long,VISIT-2.0,3643312.676,3643312.676,239.7452347,3.344311858,3.588957293,0.703359481,115.3983627,1908.746363,7.311976961,0.91840994,0.735244531,Web/CloudOps,2
bitbrains_rnd/5T/medium,VISIT-2.0,2772139.566,2772139.566,182.1268474,4.419150909,1.643033654,0.721519842,159.4661969,1664.974344,7.005395892,0.766300498,0.6698944,Web/CloudOps,2
bitbrains_rnd/5T/short,VISIT-2.0,1898035.091,1898035.091,131.980878,1.688635003,1.329731751,0.676092868,52.7636088,1377.691944,5.637117509,0.540027632,0.436982826,Web/CloudOps,2
bitbrains_rnd/H/short,VISIT-2.0,1797394.845,1797394.845,145.8358552,5.871684502,1.392754851,0.553816623,199.3090793,1340.669551,5.867426432,0.638249113,0.56474459,Web/CloudOps,2
bizitobs_application/10S/long,VISIT-2.0,6620917.191,6620917.191,1574.640556,3.327390652,0.047535536,0.048829753,69.08183581,2573.114298,0.099234733,0.060727592,0.056524648,Web/CloudOps,2
bizitobs_application/10S/medium,VISIT-2.0,3707636.053,3707636.053,1053.677188,2.356709484,0.032952849,0.033803174,26.3113268,1925.522281,0.075609593,0.041374802,0.03538236,Web/CloudOps,2
